source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;scenario_infra_id;scenario_prob_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;100;50;10;10;16;1022;1022;1;1;5;line_consecutive;0.5;1022;4;2;9-10;7,9
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;100;50;10;10;16;1023;1023;1;1;5;line_consecutive;0.5;1023;4;3;14-15;14
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;100;50;10;10;16;1024;1024;1;1;5;line_consecutive;0.5;1024;4;4;6-8;2
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1025;1025;1;1;5;line_consecutive;0.5;1025;5;0;14-15;14
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1026;1026;1;1;5;line_consecutive;0.5;1026;5;1;7-18;3,11
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1027;1027;1;1;5;line_consecutive;0.5;1027;5;2;5-6;9
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1028;1028;1;1;5;line_consecutive;0.5;1028;5;3;17-19;2,13,14
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;150;50;10;10;16;1029;1029;1;1;5;line_consecutive;0.5;1029;5;4;20-22;11
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1030;1030;1;1;5;line_consecutive;0.5;1030;6;0;9-10;7,9
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1031;1031;1;1;5;line_consecutive;0.5;1031;6;1;4-5;3
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1032;1032;1;1;5;line_consecutive;0.5;1032;6;2;5-9;3,9
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1033;1033;1;1;5;line_consecutive;0.5;1033;6;3;7-18;3,11
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;200;50;10;10;16;1034;1034;1;1;5;line_consecutive;0.5;1034;6;4;11-12;1,7,8
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1035;1035;1;1;5;line_consecutive;0.5;1035;7;0;23-24;4
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1036;1036;1;1;5;line_consecutive;0.5;1036;7;1;20-22;11
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1037;1037;1;1;5;line_consecutive;0.5;1037;7;2;11-12;1,7,8
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1038;1038;1;1;5;line_consecutive;0.5;1038;7;3;15-19;9,13,14
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;250;50;10;10;16;1039;1039;1;1;5;line_consecutive;0.5;1039;7;4;17-19;2,13,14
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;300;50;10;10;16;1040;1040;1;1;5;line_consecutive;0.5;1040;8;0;22-23;5
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;300;50;10;10;16;1041;1041;1;1;5;line_consecutive;0.5;1041;8;1;4-5;3
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;300;50;10;10;16;1042;1042;1;1;5;line_consecutive;0.5;1042;8;2;14-23;4,10
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;300;50;10;10;16;1043;1043;1;1;5;line_consecutive;0.5;1043;8;3;4-11;4
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;300;50;10;10;16;1044;1044;1;1;5;line_consecutive;0.5;1044;8;4;10-11;1,7,10
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1045;1045;1;1;5;line_consecutive;0.5;1045;9;0;23-24;4
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1046;1046;1;1;5;line_consecutive;0.5;1046;9;1;2-6;2
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1047;1047;1;1;5;line_consecutive;0.5;1047;9;2;3-4;3,4
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1048;1048;1;1;5;line_consecutive;0.5;1048;9;3;15-22;5,13
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1049;1049;1;1;5;line_consecutive;0.5;1049;9;4;20-21;6
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1050;1050;1;1;5;line_consecutive;0.5;1050;10;0;16-17;2,13
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1051;1051;1;1;5;line_consecutive;0.5;1051;10;1;3-12;8,12
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1052;1052;1;1;5;line_consecutive;0.5;1052;10;2;10-11;1,7,10
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1053;1053;1;1;5;line_consecutive;0.5;1053;10;3;19-20;2
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1054;1054;1;1;5;line_consecutive;0.5;1054;10;4;21-22;13
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1055;1055;1;1;5;line_consecutive;0.5;1055;11;0;10-11;1,7,10
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1056;1056;1;1;5;line_consecutive;0.5;1056;11;1;21-24;6
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1057;1057;1;1;5;line_consecutive;0.5;1057;11;2;8-9;3,7
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1058;1058;1;1;5;line_consecutive;0.5;1058;11;3;1-2;12
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1059;1059;1;1;5;line_consecutive;0.5;1059;11;4;3-12;8,12
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1060;1060;1;1;5;line_consecutive;0.5;1060;12;0;1-2;12
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1061;1061;1;1;5;line_consecutive;0.5;1061;12;1;14-15;14
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1062;1062;1;1;5;line_consecutive;0.5;1062;12;2;21-24;6
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1063;1063;1;1;5;line_consecutive;0.5;1063;12;3;16-17;2,13
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;500;50;10;10;16;1064;1064;1;1;5;line_consecutive;0.5;1064;12;4;6-8;2
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1065;1065;1;1;5;line_consecutive;0.5;1065;13;0;8-9;3,7
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1066;1066;1;1;5;line_consecutive;0.5;1066;13;1;2-6;2
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1067;1067;1;1;5;line_consecutive;0.5;1067;13;2;14-15;14
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1068;1068;1;1;5;line_consecutive;0.5;1068;13;3;1-3;4,8,12
lintim;SiouxFalls;SiouxFalls;bounds;True;True;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;550;50;10;10;16;1069;1069;1;1;5;line_consecutive;0.5;1069;13;4;5-9;3,9
