run;scenario;group;cand_id;kind;start_id;end_id;nodes;arcs;path_len;delta_len_vs_nom;unit_repl_cost_per_freq;selected
5;1;2;0;alt;2;20;2,6,8,7,18,20;"2->6;6->8;8->7;7->18;18->20";11.559999999999999;0.0;0.0;1
5;1;2;1;alt;2;20;2,6,5,9,10,15,22,20;"2->6;6->5;5->9;9->10;10->15;15->22;22->20";12.16;0.0;0.0;0
5;1;2;2;alt;2;20;2,1,3,4,11,14,23,22,20;"2->1;1->3;3->4;4->11;11->14;14->23;23->22;22->20";18.96;0.0;0.0;0
5;1;3;0;alt;3;18;3,4,5,9,8,7,18;"3->4;4->5;5->9;9->8;8->7;7->18";9.8;0.0;0.0;0
5;1;3;1;alt;3;18;3,12,11,10,16,18;"3->12;12->11;11->10;10->16;16->18";9.8;0.0;0.0;0
5;1;3;2;alt;3;18;3,4,11,10,16,18;"3->4;4->11;11->10;10->16;16->18";9.8;0.0;0.0;0
5;1;4;0;alt;1;24;1,3,4,11,14,23,24;"1->3;3->4;4->11;11->14;14->23;23->24";10.8;0.0;0.0;1
5;1;4;1;alt;1;24;1,3,12,13,24;"1->3;3->12;12->13;13->24";10.8;0.0;0.0;0
5;1;4;2;alt;1;24;1,2,6,8,9,10,15,22,21,24;"1->2;2->6;6->8;8->9;9->10;10->15;15->22;22->21;21->24";18.4;0.0;0.0;0
5;1;5;0;alt;10;23;10,15,22,23;"10->15;15->22;22->23";5.6;0.0;0.0;1
5;1;5;1;alt;10;23;10,11,14,23;"10->11;11->14;14->23";5.6;0.0;0.0;0
5;1;6;0;alt;13;20;13,24,21,20;"13->24;24->21;21->20";5.4;0.0;0.0;1
5;1;6;1;alt;13;20;13,24,23,22,20;"13->24;24->23;23->22;22->20";7.5600000000000005;0.0;0.0;0
5;1;6;2;alt;13;20;13,12,11,14,23,22,20;"13->12;12->11;11->14;14->23;23->22;22->20";15.16;0.0;0.0;0
5;1;7;0;alt;12;7;12,11,10,9,8,7;"12->11;11->10;10->9;9->8;8->7";8.6;0.0;0.0;1
5;1;7;1;alt;12;7;12,3,4,5,9,8,7;"12->3;3->4;4->5;5->9;9->8;8->7";11.0;0.0;0.0;0
5;1;7;2;alt;12;7;12,11,4,5,9,8,7;"12->11;11->4;4->5;5->9;9->8;8->7";11.0;0.0;0.0;0
5;1;7;3;alt;12;7;12,11,10,16,18,7;"12->11;11->10;10->16;16->18;18->7";8.6;0.0;0.0;0
5;1;8;0;alt;1;14;1,3,12,11,14;"1->3;3->12;12->11;11->14";8.0;0.0;0.0;0
5;1;8;1;alt;1;14;1,3,4,11,14;"1->3;3->4;4->11;11->14";8.0;0.0;0.0;0
5;1;8;2;alt;1;14;1,2,6,8,9,10,11,14;"1->2;2->6;6->8;8->9;9->10;10->11;11->14";15.6;0.0;0.0;0
5;1;9;0;alt;6;19;6,5,9,10,15,19;"6->5;5->9;9->10;10->15;15->19";9.0;0.0;0.0;1
5;1;9;1;alt;6;19;6,8,9,10,17,19;"6->8;8->9;9->10;10->17;17->19";8.129999999999999;0.0;0.0;0
5;1;9;2;alt;6;19;6,8,7,18,16,17,19;"6->8;8->7;7->18;18->16;16->17;17->19";9.0;0.0;0.0;0
5;1;9;3;alt;6;19;6,5,9,10,17,19;"6->5;5->9;9->10;10->17;17->19";8.129999999999999;0.0;0.0;0
5;1;10;0;alt;8;23;8,9,10,11,14,23;"8->9;9->10;10->11;11->14;14->23";8.8;0.0;0.0;0
5;1;10;1;alt;8;23;8,9,10,15,22,23;"8->9;9->10;10->15;15->22;22->23";8.8;0.0;0.0;0
5;1;10;2;alt;8;23;8,6,5,4,11,14,23;"8->6;6->5;5->4;4->11;11->14;14->23";11.2;0.0;0.0;0
5;1;11;0;alt;22;8;22,20,18,7,8;"22->20;20->18;18->7;7->8";11.52;0.0;0.0;0
5;1;11;1;alt;22;8;22,15,10,9,8;"22->15;15->10;10->9;9->8";7.0;0.0;0.0;0
5;1;11;2;alt;22;8;22,15,10,9,5,6,8;"22->15;15->10;10->9;9->5;5->6;6->8";9.4;0.0;0.0;0
5;1;12;0;alt;13;2;13,12,3,1,2;"13->12;12->3;3->1;1->2";14.600000000000001;0.0;0.0;1
5;1;12;1;alt;13;2;13,24,23,14,15,10,9,5,6,2;"13->24;24->23;23->14;14->15;15->10;10->9;9->5;5->6;6->2";14.6;0.0;0.0;0
5;1;12;2;alt;13;2;13,12,11,10,9,5,6,2;"13->12;12->11;11->10;10->9;9->5;5->6;6->2";14.6;0.0;0.0;0
5;1;13;0;alt;8;21;8,9,10,15,22,21;"8->9;9->10;10->15;15->22;22->21";8.6;0.0;0.0;0
5;1;13;1;alt;8;21;8,7,18,20,21;"8->7;7->18;18->20;20->21";10.959999999999999;0.0;0.0;0
5;1;14;0;alt;14;10;14,15,19,17,10;"14->15;15->19;19->17;17->10";7.53;0.0;0.0;1
5;1;14;1;alt;14;10;14,11,10;"14->11;11->10";4.4;0.0;0.0;0
5;1;14;2;alt;14;10;14,15,10;"14->15;15->10";4.4;0.0;0.0;0
