run;scenario;group;cand_id;kind;start_id;end_id;nodes;arcs;path_len;delta_len_vs_nom;unit_repl_cost_per_freq;selected;is_nominal;is_base
0;0;5;2;detour;10;23;10,17,19,15,22,23;"10->17;17->19;19->15;15->22;22->23";8.73;8.33;4165.0;0;0;0
0;0;6;0;nominal;13;20;13,24,21,20;"13->24;24->21;21->20";5.4;0.0;0.0;1;1;0
0;0;6;1;detour;13;20;13,24,23,22,20;"13->24;24->23;23->22;22->20";7.5600000000000005;9.76;4880.0;0;0;0
0;0;6;2;detour;13;20;13,12,11,14,23,22,20;"13->12;12->11;11->14;14->23;23->22;22->20";15.16;20.560000000000002;10280.000000000002;0;0;0
0;0;7;0;base;12;7;12,11,4,5,9,8,7;"12->11;11->4;4->5;5->9;9->8;8->7";11.0;8.4;4200.0;0;0;1
0;0;7;1;detour;12;7;12,3,4,5,9,8,7;"12->3;3->4;4->5;5->9;9->8;8->7";11.0;11.6;5800.0;0;0;0
0;0;7;2;detour;12;7;12,11,14,15,10,9,8,7;"12->11;11->14;14->15;15->10;10->9;9->8;8->7";13.8;8.8;4400.0;0;0;0
0;0;8;0;nominal;1;14;1,3,12,11,14;"1->3;3->12;12->11;11->14";8.0;0.0;0.0;0;1;0
0;0;8;1;detour;1;14;1,3,4,11,14;"1->3;3->4;4->11;11->14";8.0;8.0;4000.0;0;0;0
0;0;8;2;detour;1;14;1,2,6,8,16,10,15,14;"1->2;2->6;6->8;8->16;16->10;10->15;15->14";15.6;23.6;11800.0;0;0;0
0;0;9;0;nominal;6;19;6,5,9,10,15,19;"6->5;5->9;9->10;10->15;15->19";9.0;0.0;0.0;0;1;0
0;0;9;1;detour;6;19;6,8,16,17,19;"6->8;8->16;16->17;17->19";5.0;14.0;7000.0;0;0;0
0;0;9;2;ksp;6;19;6,5,9,10,17,19;"6->5;5->9;9->10;10->17;17->19";8.129999999999999;8.33;4165.0;0;0;0
0;0;10;0;base;8;23;8,16,17,19,15,14,23;"8->16;16->17;17->19;19->15;15->14;14->23";8.8;12.8;6400.0;0;0;1
0;0;10;1;detour;8;23;8,9,10,15,22,23;"8->9;9->10;10->15;15->22;22->23";8.8;17.6;8800.0;0;0;0
0;0;10;2;detour;8;23;8,16,10,15,22,23;"8->16;16->10;10->15;15->22;22->23";8.8;11.2;5600.0;0;0;0
0;0;11;0;nominal;22;8;22,20,18,7,8;"22->20;20->18;18->7;7->8";11.52;0.0;0.0;0;1;0
0;0;11;1;detour;22;8;22,15,10,9,8;"22->15;15->10;10->9;9->8";7.0;18.52;9260.0;0;0;0
0;0;11;2;ksp;22;8;22,15,10,16,8;"22->15;15->10;10->16;16->8";7.0;18.52;9260.0;0;0;0
0;0;12;0;nominal;13;2;13,12,3,1,2;"13->12;12->3;3->1;1->2";14.600000000000001;0.0;0.0;0;1;0
0;0;12;1;detour;13;2;13,24,21,20,19,17,16,8,6,2;"13->24;24->21;21->20;20->19;19->17;17->16;16->8;8->6;6->2";14.6;29.200000000000003;14600.000000000002;0;0;0
0;0;12;2;ksp;13;2;13,24,23,14,15,10,9,5,6,2;"13->24;24->23;23->14;14->15;15->10;10->9;9->5;5->6;6->2";14.6;29.200000000000003;14600.000000000002;0;0;0
0;0;13;0;nominal;8;21;8,16,17,19,15,22,21;"8->16;16->17;17->19;19->15;15->22;22->21";8.6;0.0;0.0;0;1;0
0;0;13;1;detour;8;21;8,9,10,15,22,21;"8->9;9->10;10->15;15->22;22->21";8.6;11.6;5800.0;0;0;0
0;0;13;2;detour;8;21;8,16,10,15,22,21;"8->16;16->10;10->15;15->22;22->21";8.6;9.2;4600.0;0;0;0
0;0;13;3;ksp;8;21;8,16,17,19,20,21;"8->16;16->17;17->19;19->20;20->21";8.6;9.6;4800.0;0;0;0
0;0;14;0;nominal;14;10;14,15,19,17,10;"14->15;15->19;19->17;17->10";7.53;0.0;0.0;0;1;0
0;0;14;1;detour;14;10;14,15,10;"14->15;15->10";4.4;8.33;4165.0;0;0;0
0;0;14;2;detour;14;10;14,23,22,15,10;"14->23;23->22;22->15;15->10";6.8;14.33;7165.0;0;0;0
0;1;1;0;nominal;12;18;12,11,10,16,18;"12->11;11->10;10->16;16->18";7.4;0.0;0.0;1;1;0
0;1;1;1;detour;12;18;12,3,4,5,9,10,16,18;"12->3;3->4;4->5;5->9;9->10;10->16;16->18";12.2;11.6;5800.0;0;0;0
0;1;1;2;detour;12;18;12,11,4,5,9,10,16,18;"12->11;11->4;4->5;5->9;9->10;10->16;16->18";12.2;8.4;4200.0;0;0;0
0;1;1;3;ksp;12;18;12,11,10,17,16,18;"12->11;11->10;10->17;17->16;16->18";8.93;5.53;2765.0;0;0;0
0;1;2;0;base;2;20;2,6,8,7,18,20;"2->6;6->8;8->7;7->18;18->20";11.559999999999999;15.559999999999999;7779.999999999999;0;0;1
0;1;2;1;detour;2;20;2,6,5,9,10,15,22,20;"2->6;6->5;5->9;9->10;10->15;15->22;22->20";12.16;18.56;9280.0;0;0;0
0;1;2;2;detour;2;20;2,1,3,4,11,14,23,22,20;"2->1;1->3;3->4;4->11;11->14;14->23;23->22;22->20";18.96;28.16;14080.0;0;0;0
0;1;3;0;nominal;3;18;3,4,5,9,8,7,18;"3->4;4->5;5->9;9->8;8->7;7->18";9.8;0.0;0.0;0;1;0
0;1;3;1;detour;3;18;3,12,11,10,16,18;"3->12;12->11;11->10;10->16;16->18";9.8;19.6;9800.0;0;0;0
0;1;3;2;detour;3;18;3,4,11,10,16,18;"3->4;4->11;11->10;10->16;16->18";9.8;16.4;8200.0;0;0;0
0;1;4;0;nominal;1;24;1,3,4,11,14,23,24;"1->3;3->4;4->11;11->14;14->23;23->24";10.8;0.0;0.0;1;1;0
0;1;4;1;detour;1;24;1,3,12,13,24;"1->3;3->12;12->13;13->24";10.8;18.8;9400.0;0;0;0
0;1;4;2;detour;1;24;1,2,6,8,9,10,15,22,21,24;"1->2;2->6;6->8;8->9;9->10;10->15;15->22;22->21;21->24";18.4;29.2;14600.0;0;0;0
0;1;5;0;nominal;10;23;10,15,22,23;"10->15;15->22;22->23";5.6;0.0;0.0;0;1;0
0;1;5;1;detour;10;23;10,11,14,23;"10->11;11->14;14->23";5.6;11.2;5600.0;0;0;0
0;1;6;0;nominal;13;20;13,24,21,20;"13->24;24->21;21->20";5.4;0.0;0.0;1;1;0
0;1;6;1;detour;13;20;13,24,23,22,20;"13->24;24->23;23->22;22->20";7.5600000000000005;9.76;4880.0;0;0;0
0;1;6;2;detour;13;20;13,12,11,14,23,22,20;"13->12;12->11;11->14;14->23;23->22;22->20";15.16;20.560000000000002;10280.000000000002;0;0;0
0;1;7;0;nominal;12;7;12,11,10,9,8,7;"12->11;11->10;10->9;9->8;8->7";8.6;0.0;0.0;1;1;0
0;1;7;1;detour;12;7;12,3,4,5,9,8,7;"12->3;3->4;4->5;5->9;9->8;8->7";11.0;11.6;5800.0;0;0;0
0;1;7;2;detour;12;7;12,11,4,5,9,8,7;"12->11;11->4;4->5;5->9;9->8;8->7";11.0;8.4;4200.0;0;0;0
0;1;7;3;ksp;12;7;12,11,10,16,18,7;"12->11;11->10;10->16;16->18;18->7";8.6;10.4;5200.0;0;0;0
0;1;8;0;nominal;1;14;1,3,12,11,14;"1->3;3->12;12->11;11->14";8.0;0.0;0.0;0;1;0
0;1;8;1;detour;1;14;1,3,4,11,14;"1->3;3->4;4->11;11->14";8.0;8.0;4000.0;0;0;0
0;1;8;2;detour;1;14;1,2,6,8,9,10,11,14;"1->2;2->6;6->8;8->9;9->10;10->11;11->14";15.6;18.4;9200.0;0;0;0
0;1;9;0;nominal;6;19;6,5,9,10,15,19;"6->5;5->9;9->10;10->15;15->19";9.0;0.0;0.0;1;1;0
0;1;9;1;detour;6;19;6,8,9,10,17,19;"6->8;8->9;9->10;10->17;17->19";8.129999999999999;14.73;7365.0;0;0;0
0;1;9;2;detour;6;19;6,8,7,18,16,17,19;"6->8;8->7;7->18;18->16;16->17;17->19";9.0;18.0;9000.0;0;0;0
0;1;9;3;ksp;6;19;6,5,9,10,17,19;"6->5;5->9;9->10;10->17;17->19";8.129999999999999;8.33;4165.0;0;0;0
0;1;10;0;base;8;23;8,9,10,11,14,23;"8->9;9->10;10->11;11->14;14->23";8.8;6.4;3200.0;0;0;1
0;1;10;1;detour;8;23;8,9,10,15,22,23;"8->9;9->10;10->15;15->22;22->23";8.8;17.6;8800.0;0;0;0
0;1;10;2;detour;8;23;8,6,5,4,11,14,23;"8->6;6->5;5->4;4->11;11->14;14->23";11.2;12.4;6200.0;0;0;0
0;1;11;0;nominal;22;8;22,20,18,7,8;"22->20;20->18;18->7;7->8";11.52;0.0;0.0;0;1;0
0;1;11;1;detour;22;8;22,15,10,9,8;"22->15;15->10;10->9;9->8";7.0;18.52;9260.0;0;0;0
0;1;11;2;ksp;22;8;22,15,10,9,5,6,8;"22->15;15->10;10->9;9->5;5->6;6->8";9.4;20.92;10460.0;0;0;0
0;1;12;0;nominal;13;2;13,12,3,1,2;"13->12;12->3;3->1;1->2";14.600000000000001;0.0;0.0;0;1;0
0;1;12;1;detour;13;2;13,24,23,14,15,10,9,5,6,2;"13->24;24->23;23->14;14->15;15->10;10->9;9->5;5->6;6->2";14.6;29.200000000000003;14600.000000000002;0;0;0
0;1;12;2;ksp;13;2;13,12,11,10,9,5,6,2;"13->12;12->11;11->10;10->9;9->5;5->6;6->2";14.6;18.4;9200.0;0;0;0
0;1;13;0;base;8;21;8,9,10,15,22,21;"8->9;9->10;10->15;15->22;22->21";8.6;11.6;5800.0;0;0;1
0;1;13;1;detour;8;21;8,7,18,20,21;"8->7;7->18;18->20;20->21";10.959999999999999;19.56;9780.0;0;0;0
0;1;14;0;nominal;14;10;14,15,19,17,10;"14->15;15->19;19->17;17->10";7.53;0.0;0.0;1;1;0
0;1;14;1;detour;14;10;14,11,10;"14->11;11->10";4.4;11.93;5965.0;0;0;0
0;1;14;2;detour;14;10;14,15,10;"14->15;15->10";4.4;8.33;4165.0;0;0;0
